Year,Month,TotalPrecip
1945,Oct,0.46
1945,Nov,0.18
1945,Dec,4.45
1945,Jan,0.15
1945,Feb,2.74
1945,Mar,3.21
1945,Apr,0.00
1946,Oct,0.80
1946,Nov,7.92
1946,Dec,2.91
1946,Jan,0.25
1946,Feb,0.53
1946,Mar,3.29
1946,Apr,0.65
1947,Oct,0.08
1947,Nov,0.03
1947,Dec,0.98
1947,Jan,0.09
1947,Feb,0.44
1947,Mar,1.02
1947,Apr,0.23
1948,Oct,0.03
1948,Nov,0.00
1948,Dec,2.22
1948,Jan,0.15
1948,Feb,1.00
1948,Mar,2.24
1948,Apr,0.63
1949,Oct,0.00
1949,Nov,1.46
1949,Dec,2.21
1949,Jan,2.30
1949,Feb,1.55
1949,Mar,1.44
1949,Apr,0.01
1950,Oct,0.12
1950,Nov,0.94
1950,Dec,0.01
1950,Jan,2.53
1950,Feb,2.04
1950,Mar,0.47
1950,Apr,0.41
1951,Oct,0.23
1951,Nov,0.71
1951,Dec,4.63
1951,Jan,2.82
1951,Feb,0.54
1951,Mar,0.38
1951,Apr,1.37
1952,Oct,0.00
1952,Nov,2.76
1952,Dec,2.28
1952,Jan,7.23
1952,Feb,0.72
1952,Mar,4.33
1952,Apr,1.21
1953,Oct,0.00
1953,Nov,1.23
1953,Dec,0.06
1953,Jan,1.13
1953,Feb,0.10
1953,Mar,0.44
1953,Apr,1.78
1954,Oct,0.00
1954,Nov,1.24
1954,Dec,0.74
1954,Jan,4.78
1954,Feb,3.36
1954,Mar,2.60
1954,Apr,0.11
1955,Oct,0.00
1955,Nov,1.35
1955,Dec,0.94
1955,Jan,4.12
1955,Feb,0.88
1955,Mar,0.15
1955,Apr,2.20
1956,Oct,0.01
1956,Nov,0.00
1956,Dec,0.49
1956,Jan,8.07
1956,Feb,0.51
1956,Mar,0.00
1956,Apr,2.07
1957,Oct,1.27
1957,Nov,0.46
1957,Dec,2.10
1957,Jan,3.88
1957,Feb,1.94
1957,Mar,0.95
1957,Apr,1.33
1958,Oct,0.32
1958,Nov,0.00
1958,Dec,0.01
1958,Jan,1.49
1958,Feb,6.26
1958,Mar,5.25
1958,Apr,2.04
1959,Oct,0.01
1959,Nov,0.06
1959,Dec,1.11
1959,Jan,1.11
1959,Feb,3.72
1959,Mar,0.00
1959,Apr,0.39
1960,Oct,0.00
1960,Nov,2.67
1960,Dec,0.06
1960,Jan,2.83
1960,Feb,2.90
1960,Mar,0.21
1960,Apr,2.00
1961,Oct,0.00
1961,Nov,1.88
1961,Dec,1.07
1961,Jan,1.27
1961,Feb,0.00
1961,Mar,0.46
1961,Apr,0.02
1962,Oct,0.07
1962,Nov,0.02
1962,Dec,0.01
1962,Jan,2.68
1962,Feb,11.07
1962,Mar,1.11
1962,Apr,0.00
1963,Oct,0.42
1963,Nov,2.76
1963,Dec,0.00
1963,Jan,0.62
1963,Feb,4.48
1963,Mar,2.42
1963,Apr,1.41
1964,Oct,0.30
1964,Nov,1.07
1964,Dec,1.95
1964,Jan,1.49
1964,Feb,0.00
1964,Mar,1.20
1964,Apr,0.20
1965,Oct,0.00
1965,Nov,6.38
1965,Dec,3.25
1965,Jan,0.43
1965,Feb,0.34
1965,Mar,1.63
1965,Apr,4.52
1966,Oct,0.04
1966,Nov,2.69
1966,Dec,3.67
1966,Jan,0.84
1966,Feb,1.40
1966,Mar,0.49
1966,Apr,0.01
1967,Oct,0.00
1967,Nov,7.47
1967,Dec,1.05
1967,Jan,2.71
1967,Feb,0.05
1967,Mar,1.47
1967,Apr,2.68
1968,Oct,0.32
1968,Nov,0.24
1968,Dec,1.42
1968,Jan,0.84
1968,Feb,0.44
1968,Mar,3.77
1968,Apr,0.49
1969,Oct,0.00
1969,Nov,1.37
1969,Dec,0.01
1969,Jan,9.60
1969,Feb,3.76
1969,Mar,0.42
1969,Apr,0.38
1970,Oct,0.02
1970,Nov,3.68
1970,Dec,4.12
1970,Jan,1.44
1970,Feb,1.39
1970,Mar,1.29
1970,Apr,0.00
1971,Oct,0.28
1971,Nov,0.22
1971,Dec,5.70
1971,Jan,0.66
1971,Feb,0.36
1971,Mar,0.23
1971,Apr,0.68
1972,Oct,1.79
1972,Nov,3.13
1972,Dec,1.88
1972,Jan,0.00
1972,Feb,0.16
1972,Mar,0.00
1972,Apr,0.00
1973,Oct,0.08
1973,Nov,1.92
1973,Dec,0.45
1973,Jan,3.16
1973,Feb,4.87
1973,Mar,2.42
1973,Apr,0.00
1974,Oct,0.54
1974,Nov,0.00
1974,Dec,3.76
1974,Jan,5.68
1974,Feb,0.13
1974,Mar,2.49
1974,Apr,0.14
1975,Oct,0.24
1975,Nov,0.00
1975,Dec,0.10
1975,Jan,0.01
1975,Feb,3.21
1975,Mar,2.98
1975,Apr,0.74
1976,Oct,1.50
1976,Nov,0.87
1976,Dec,0.95
1976,Jan,0.00
1976,Feb,2.15
1976,Mar,0.83
1976,Apr,0.77
1977,Oct,0.00
1977,Nov,0.04
1977,Dec,3.92
1977,Jan,3.21
1977,Feb,0.26
1977,Mar,1.23
1977,Apr,0.00
1978,Oct,0.04
1978,Nov,1.20
1978,Dec,0.83
1978,Jan,7.48
1978,Feb,7.66
1978,Mar,5.75
1978,Apr,1.23
1979,Oct,0.31
1979,Nov,0.22
1979,Dec,0.42
1979,Jan,5.26
1979,Feb,2.53
1979,Mar,4.74
1979,Apr,0.00
1980,Oct,0.00
1980,Nov,0.00
1980,Dec,1.57
1980,Jan,6.97
1980,Feb,9.13
1980,Mar,3.69
1980,Apr,0.17
1981,Oct,0.40
1981,Nov,2.63
1981,Dec,1.52
1981,Jan,1.51
1981,Feb,1.58
1981,Mar,3.24
1981,Apr,0.46
1982,Oct,0.18
1982,Nov,3.48
1982,Dec,0.66
1982,Jan,2.78
1982,Feb,0.66
1982,Mar,3.41
1982,Apr,1.61
1983,Oct,0.94
1983,Nov,2.74
1983,Dec,2.11
1983,Jan,5.25
1983,Feb,5.64
1983,Mar,6.37
1983,Apr,3.18
1984,Oct,0.28
1984,Nov,1.24
1984,Dec,4.21
1984,Jan,0.39
1984,Feb,0.01
1984,Mar,0.14
1984,Apr,1.16
1985,Oct,0.36
1985,Nov,4.75
1985,Dec,0.44
1985,Jan,0.70
1985,Feb,1.91
1985,Mar,0.72
1985,Apr,0.00
1986,Oct,0.10
1986,Nov,1.14
1986,Dec,0.30
1986,Jan,2.31
1986,Feb,5.36
1986,Mar,4.89
1986,Apr,0.30
1987,Oct,1.74
1987,Nov,0.60
1987,Dec,1.79
1987,Jan,1.27
1987,Feb,0.64
1987,Mar,0.92
1987,Apr,0.02
1988,Oct,0.00
1988,Nov,0.73
1988,Dec,2.52
1988,Jan,1.61
1988,Feb,1.79
1988,Mar,0.08
1988,Apr,1.14
1989,Oct,0.34
1989,Nov,0.38
1989,Dec,0.00
1989,Jan,0.59
1989,Feb,1.72
1989,Mar,0.86
1989,Apr,0.00
1990,Oct,0.00
1990,Nov,0.10
1990,Dec,0.03
1990,Jan,1.18
1990,Feb,2.60
1990,Mar,0.14
1990,Apr,0.34
1991,Oct,0.06
1991,Nov,0.00
1991,Dec,2.86
1991,Jan,1.38
1991,Feb,2.53
1991,Mar,3.96
1991,Apr,0.00
1992,Oct,0.50
1992,Nov,0.00
1992,Dec,4.16
1992,Jan,1.61
1992,Feb,4.70
1992,Mar,5.08
1992,Apr,0.18
1993,Oct,0.09
1993,Nov,0.93
1993,Dec,0.97
1993,Jan,10.63
1993,Feb,5.48
1993,Mar,1.83
1993,Apr,0.00
1994,Oct,0.14
1994,Nov,0.66
1994,Dec,1.05
1994,Jan,0.33
1994,Feb,4.36
1994,Mar,1.01
1994,Apr,0.44
1995,Oct,0.01
1995,Nov,0.10
1995,Dec,2.16
1995,Jan,12.71
1995,Feb,0.62
1995,Mar,5.67
1995,Apr,0.74
1996,Oct,1.46
1996,Nov,1.93
1996,Dec,4.74
1996,Jan,1.94
1996,Feb,4.19
1996,Mar,1.36
1996,Apr,0.42
1997,Oct,0.00
1997,Nov,2.66
1997,Dec,3.93
1997,Jan,5.12
1997,Feb,0.05
1997,Mar,0.00
1997,Apr,0.00
1998,Oct,0.00
1998,Nov,1.89
1998,Dec,0.74
1998,Jan,3.71
1998,Feb,13.79
1998,Mar,3.37
1998,Apr,1.00
1999,Oct,0.00
1999,Nov,0.28
1999,Dec,0.00
1999,Jan,1.19
1999,Feb,0.50
1999,Mar,2.12
1999,Apr,2.23
2000,Oct,1.12
2000,Nov,0.00
2000,Dec,0.00
2000,Jan,0.85
2000,Feb,4.71
2000,Mar,2.39
2000,Apr,1.88
2001,Oct,0.04
2001,Nov,1.34
2001,Dec,1.25
2001,Jan,4.68
2001,Feb,7.30
2001,Mar,1.29
2001,Apr,1.10
2002,Oct,0.05
2002,Nov,1.60
2002,Dec,1.77
2002,Jan,0.73
2002,Feb,0.35
2002,Mar,0.27
2002,Apr,0.02
2003,Oct,0.71
2003,Nov,0.80
2003,Dec,1.14
2003,Jan,0.00
2003,Feb,3.78
2003,Mar,1.66
2003,Apr,0.49
2004,Oct,3.78
2004,Nov,0.11
2004,Dec,6.49
2004,Jan,0.49
2004,Feb,4.61
2004,Mar,0.77
2004,Apr,0.03
2005,Oct,1.01
2005,Nov,0.47
2005,Dec,0.95
2005,Jan,6.87
2005,Feb,6.95
2005,Mar,1.08
2005,Apr,0.90
2006,Oct,0.00
2006,Nov,0.25
2006,Dec,0.61
2006,Jan,1.42
2006,Feb,2.03
2006,Mar,2.52
2006,Apr,1.63
2007,Oct,0.64
2007,Nov,0.50
2007,Dec,1.59
2007,Jan,0.39
2007,Feb,0.82
2007,Mar,0.09
2007,Apr,0.36
2008,Oct,0.00
2008,Nov,1.50
2008,Dec,2.51
2008,Jan,4.67
2008,Feb,2.17
2008,Mar,0.03
2008,Apr,0.03
2009,Oct,1.30
2009,Nov,0.00
2009,Dec,2.05
2009,Jan,0.51
2009,Feb,3.41
2009,Mar,0.05
2009,Apr,0.00
2010,Oct,1.56
2010,Nov,0.59
2010,Dec,8.83
2010,Jan,4.30
2010,Feb,3.23
2010,Mar,0.21
2010,Apr,1.25
2011,Oct,0.63
2011,Nov,1.69
2011,Dec,0.67
2011,Jan,0.81
2011,Feb,1.47
2011,Mar,4.04
2011,Apr,0.00
2012,Oct,0.15
2012,Nov,1.31
2012,Dec,2.82
2012,Jan,1.19
2012,Feb,0.12
2012,Mar,1.78
2012,Apr,1.51
2013,Oct,0.02
2013,Nov,0.69
2013,Dec,0.30
2013,Jan,1.30
2013,Feb,0.20
2013,Mar,0.66
2013,Apr,0.06
2014,Oct,0.24
2014,Nov,0.42
2014,Dec,4.04
2014,Jan,0.00
2014,Feb,2.79
2014,Mar,0.36
2014,Apr,0.26
2015,Oct,0.10
2015,Nov,0.06
2015,Dec,1.08
2015,Jan,1.25
2015,Feb,0.27
2015,Mar,0.49
2015,Apr,0.11
